start,duration,depth,peak,end,td.max.lf,td.min.lf,td.mean.lf,td.min.lf,td.mean.lf,td.max.lf
1902-01-19 03:00:00,2,0.1,0.05,1902-01-19 05:00:00,-0.617658701,-0.75846715,-0.688137057,-0.75846715,-0.688137057,-0.617658701
1902-01-21 16:00:00,18,1.06,0.18,1902-01-22 10:00:00,2.027782504,0.426806985,1.42314279447368,0.426806985,1.42314279447368,2.027782504
1902-01-26 14:00:00,25,0.58,0.07,1902-01-27 15:00:00,0.208783276,-0.296803715,0.0783694037307692,-0.296803715,0.0783694037307692,0.208783276
1902-01-30 00:00:00,1,0.19,0.19,1902-01-30 01:00:00,-1.418953233,-1.443278089,-1.431115661,-1.443278089,-1.431115661,-1.418953233
1902-01-30 14:00:00,1,0.26,0.26,1902-01-30 15:00:00,-1.120530521,-1.139477474,-1.1300039975,-1.139477474,-1.1300039975,-1.120530521
1902-01-31 19:00:00,1,0.15,0.15,1902-01-31 20:00:00,-0.647926919,-0.662072983,-0.654999951,-0.662072983,-0.654999951,-0.647926919
1902-02-01 16:00:00,24,0.44,0.08,1902-02-02 16:00:00,0.463197474,-0.312907979,0.17160323788,-0.312907979,0.17160323788,0.463197474
1902-02-16 23:00:00,19,1.1,0.1,1902-02-17 18:00:00,-0.655084866,-0.75084916,-0.6986440509,-0.75084916,-0.6986440509,-0.655084866
1902-02-21 03:00:00,22,1.69,0.16,1902-02-22 01:00:00,-0.887274707,-1.323888781,-1.17847845817391,-1.323888781,-1.17847845817391,-0.887274707
1902-02-22 10:00:00,13,0.32,0.07,1902-02-22 23:00:00,1.205473256,-0.00841437,0.669177044428571,-0.00841437,0.669177044428571,1.205473256
1902-02-25 12:00:00,16,0.43,0.08,1902-02-26 04:00:00,0.946110415,-0.149948013,0.279762282176471,-0.149948013,0.279762282176471,0.946110415
1902-02-28 08:00:00,9,1.4,1.11,1902-02-28 17:00:00,2.655256907,1.649759056,2.1622080694,1.649759056,2.1622080694,2.655256907
1902-03-02 04:00:00,8,0.38,0.12,1902-03-02 12:00:00,2.267812862,2.202663525,2.229602116,2.202663525,2.229602116,2.267812862
1902-03-04 23:00:00,25,1.24,0.1,1902-03-06 00:00:00,0.700456047,-0.262463276,0.444946380115385,-0.262463276,0.444946380115385,0.700456047
1902-03-08 16:00:00,17,0.41,0.06,1902-03-09 09:00:00,0.176664565,-0.238764225,-0.0156698922777778,-0.238764225,-0.0156698922777778,0.176664565
1902-03-16 19:00:00,15,0.48,0.23,1902-03-17 10:00:00,1.146035702,0.537963864,0.9096662196875,0.537963864,0.9096662196875,1.146035702
1902-03-28 08:00:00,10,0.23,0.05,1902-03-28 18:00:00,0.13733346,0.013471222,0.0545528417272727,0.013471222,0.0545528417272727,0.13733346
1902-03-29 00:00:00,17,0.73,0.19,1902-03-29 17:00:00,0.604560596,0.305380535,0.496133561722222,0.305380535,0.496133561722222,0.604560596
1902-03-30 17:00:00,2,0.11,0.07,1902-03-30 19:00:00,0.278762931,0.202170607,0.240805826666667,0.202170607,0.240805826666667,0.278762931
1902-04-06 14:00:00,7,0.2,0.05,1902-04-06 21:00:00,0.932972371,0.756997737,0.87225260975,0.756997737,0.87225260975,0.932972371
