"start","duration","depth","peak","end","td.min.hf","td.mean.hf","td.max.hf"
1904-07-12 18:00:00,12,0.74,0.16,1904-07-13 06:00:00,-2.854,0.245076923076923,3.245
1904-07-22 10:00:00,3,0.12,0.06,1904-07-22 13:00:00,-0.656,0.66925,1.946
1904-07-24 04:00:00,10,0.33,0.15,1904-07-24 14:00:00,-2.756,-0.283181818181818,1.745
1904-07-25 11:00:00,10,0.36,0.13,1904-07-25 21:00:00,-3.556,-0.810363636363636,1.644
1904-07-28 21:00:00,8,0.31,0.14,1904-07-29 05:00:00,-2.956,0.200111111111111,2.546
1904-08-01 14:00:00,4,0.16,0.08,1904-08-01 18:00:00,-0.955,0.7046,1.745
1904-08-02 08:00:00,6,0.82,0.31,1904-08-02 14:00:00,-3.455,-1.99757142857143,-0.354
1904-08-10 02:00:00,8,0.27,0.13,1904-08-10 10:00:00,-3.255,-1.02177777777778,1.444
1904-08-10 21:00:00,5,2.04,0.77,1904-08-11 02:00:00,-1.857,1.41133333333333,3.245
1904-08-20 00:00:00,8,0.87,0.17,1904-08-20 08:00:00,-2.356,-0.455333333333333,1.946
1904-09-02 07:00:00,2,0.57,0.36,1904-09-02 09:00:00,-0.256,0.544666666666667,1.345
1904-09-12 23:00:00,5,0.79,0.6,1904-09-13 04:00:00,-3.054,-0.387666666666667,2.546
1904-09-14 04:00:00,26,5.67,2.13,1904-09-15 06:00:00,-3.156,0.37437037037037,3.343
1904-09-29 22:00:00,1,0.16,0.16,1904-09-29 23:00:00,-1.955,-1.606,-1.257
1904-10-06 02:00:00,7,0.2,0.18,1904-10-06 09:00:00,-2.854,-1.155375,0.446
1904-10-11 22:00:00,15,1.62,0.5,1904-10-12 13:00:00,-3.655,-0.9863125,2.044
1904-10-21 00:00:00,11,2.21,0.68,1904-10-21 11:00:00,-2.054,0.486416666666667,3.343
1904-11-09 00:00:00,5,0.12,0.07,1904-11-09 05:00:00,-0.354,0.944166666666667,2.044
1904-11-10 16:00:00,11,0.17,0.04,1904-11-11 03:00:00,-2.756,-0.205416666666667,2.844
1904-11-13 06:00:00,21,2.08,0.22,1904-11-14 03:00:00,-4.856,-1.44172727272727,1.243
1904-11-29 18:00:00,6,0.14,0.05,1904-11-30 00:00:00,-1.457,0.715571428571429,2.644
1904-12-03 10:00:00,1,0.1,0.1,1904-12-03 11:00:00,1.644,1.744,1.844
1904-12-05 21:00:00,1,0.34,0.34,1904-12-05 22:00:00,-2.756,-1.9555,-1.155
1904-12-10 21:00:00,1,0.36,0.36,1904-12-10 22:00:00,-2.454,-2.1045,-1.755
1904-12-18 03:00:00,1,0.38,0.38,1904-12-18 04:00:00,-1.955,-1.606,-1.257
1905-01-03 13:00:00,12,0.34,0.06,1905-01-04 01:00:00,-3.156,-0.301769230769231,2.444
1905-01-06 14:00:00,14,0.98,0.21,1905-01-07 04:00:00,-2.054,0.9112,3.944
1905-01-11 15:00:00,24,0.66,0.2,1905-01-12 15:00:00,-3.255,-0.79964,1.644
1905-01-24 16:00:00,32,0.91,0.07,1905-01-26 00:00:00,-4.455,-1.00969696969697,2.644
1905-02-05 21:00:00,12,0.86,0.11,1905-02-06 09:00:00,-3.455,-1.37038461538462,0.446
1905-02-08 22:00:00,18,0.56,0.1,1905-02-09 16:00:00,-3.054,-0.802421052631579,0.945
1905-02-12 12:00:00,11,0.77,0.25,1905-02-12 23:00:00,-3.255,-1.29725,0.446
1905-02-20 08:00:00,13,0.2,0.03,1905-02-20 21:00:00,-3.054,-1.47685714285714,0.144
1905-03-04 03:00:00,10,0.34,0.06,1905-03-04 13:00:00,-3.455,-1.21009090909091,1.545
1905-03-07 12:00:00,10,0.24,0.05,1905-03-07 22:00:00,-3.054,-0.736909090909091,1.145
1905-03-08 16:00:00,10,0.47,0.11,1905-03-09 02:00:00,-2.854,-0.955363636363636,1.345
1905-03-09 14:00:00,17,0.91,0.24,1905-03-10 07:00:00,-2.854,-0.0716666666666667,1.946
1905-03-19 08:00:00,19,0.88,0.44,1905-03-20 03:00:00,-2.956,0.0541,2.244
1905-03-20 09:00:00,37,0.82,0.15,1905-03-21 22:00:00,-2.356,1.01294736842105,4.344
1905-03-24 19:00:00,8,0.27,0.13,1905-03-25 03:00:00,-1.955,-0.0105555555555556,2.146
1905-03-26 19:00:00,7,0.22,0.07,1905-03-27 02:00:00,-1.457,0.3945,2.746
1905-04-04 20:00:00,35,1.31,0.22,1905-04-06 07:00:00,-2.556,0.294722222222222,2.946
1905-04-10 18:00:00,9,0.94,0.48,1905-04-11 03:00:00,-3.054,-0.9048,1.545
1905-04-11 23:00:00,8,0.3,0.1,1905-04-12 07:00:00,-2.956,-0.522111111111111,2.146
1905-04-21 16:00:00,6,0.38,0.24,1905-04-21 22:00:00,-3.054,-0.669285714285714,2.044
1905-04-26 18:00:00,23,0.53,0.1,1905-04-27 17:00:00,-3.455,-0.709416666666667,1.946
1905-05-14 14:00:00,6,0.2,0.12,1905-05-14 20:00:00,-3.455,-1.72642857142857,0.446
1905-05-16 16:00:00,6,0.36,0.28,1905-05-16 22:00:00,-3.455,-1.42628571428571,1.345
1905-05-17 20:00:00,6,0.21,0.11,1905-05-18 02:00:00,-3.255,0.973285714285714,3.343
1905-05-18 18:00:00,1,0.1,0.1,1905-05-18 19:00:00,-2.054,-1.6555,-1.257
1905-05-30 16:00:00,9,0.36,0.12,1905-05-31 01:00:00,-3.455,-0.3053,2.644
1905-06-02 17:00:00,1,0.28,0.28,1905-06-02 18:00:00,-1.555,-1.155,-0.755
